Sign,ID,Avatar,Character,Emotion,Text
#,0,mc,(Username),neutral,"Good morning, George. You've worked hard."
#,1,mc,(Username),neutral,I brought little Emily here. I wonder how our patient is doing now?
#,2,George,George Ruggs,smile,"Hey, good morning, my dear, and lovely Emily."
#,3,Emily,Emily,smile,(beep) (happy expression)
#,4,George,George Ruggs,neutral,"I've been observing Andrew's condition, and there have been some changes recently."
&,5,mc,(Username),,"Good job, George."
&,6,mc,(Username),,Can you tell me some details?
#,7,George,George Ruggs,neutral,"Ah, you know, his condition has always been quite uncertain."
#,8,George,George Ruggs,neutral,"Sometimes it's good, sometimes it's not so good. Just like getting up every morning, you're always unsure what kind of day it will be."
#,9,Emily,Emily,neutral,Emily suspects you're alluding to your own condition.
#,10,George,George Ruggs,ehe,(Pause) Ehe.
#,11,Emily,Emily,neutral,...
#,12,George,George Ruggs,neutral,"But to be honest, Andrew's condition is indeed worrying."
#,13,George,George Ruggs,neutral,I'll do my best to observe.
&,14,mc,(Username),,"Very good, we have to go see him as soon as possible and find out the details."
&,15,mc,(Username),,"Haha, otherwise George, you should work harder, so we don't have to worry."
#,16,Emily,Emily,smile,Emily agree.
#,17,Emily,Emily,neutral,You two can evaluate Mr. Andrew's condition by talking to him and running some tests.
#,18,Emily,Emily,neutral,"At the same time, Emily can analyze the monitoring data to see if there are any unusual patterns or trends."
#,19,mc,(Username),neutral,"Yes, maybe we can find some solutions based on the conversation."
#,20,George,George Ruggs,smile,It sounds like a perfect solution.
#,21,George,George Ruggs,neutral,But I must remind you that Andrew's situation may not be as optimistic as you two think.
#,22,George,George Ruggs,neutral,"Like I said, it's very uncertain, sometimes good and sometimes bad."
#,23,George,George Ruggs,neutral,"Maybe we were chatting well in the last second, and we have to introduce ourselves again in the next second."
#,24,mc,(Username) ,neutral,...
#,25,Emily,Emily,neutral,"Based on what you said before, even in a joking tone, it's not such a serious situation."
#,26,George,George Ruggs,smile,"My bad, Emily."
&,27,mc,(Username),,"Okay, you two stop making trouble."
&,28,mc,(Username),,We should go to Andrew's ward.
#,29,George,George Ruggs,smile,"Yes, dear. Let's go to the front desk to get the medical records and room keys."
#,30,George,George Ruggs,neutral,"In order to prevent Andrew from disappearing suddenly, we decided to lock the door and windows of the ward."
#,31,Emily,Emily,neutral,"Correction: Humans cannot disappear out of thin air, it is recommended to change to missing."
#,32,George,George Ruggs,neutral,"... Emily, you are getting less and less cute."
#,33,George,George Ruggs,neutral,"Anyway, let's go to the front desk to get the medical records and room keys."
